marker,article,previous,current,next,link
(1998),W14-0118,"part-whole or causal relations, are most likely not similar but strongly related.","This difference is dubbed the 'tennisphenomenon' in Fellbaum (1998) : where tennis ball, player, racket and game are closely related but all very different things.","Since WordNet dominantly consists of synonymy and hyponymy relations, it more naturally reflects similarity than relatedness.",http://www.aclweb.org/anthology/W/W14/W14-0118.pdf
"(Lesk, 1986)",W14-0118,"Since the first release of WordNet, researchers have tried to use it to simulate similarity.","Except for the lesk (Lesk, 1986), vector (Patwardhan and Pedersen, 2006), and vector pairs (Patwardhan and Pedersen, 2006) algorithms, these measures are all based on synonymy and hyponymy.",Another approach to measure similarity across different languages is described by Joubarne and Inkpen (2011).,http://www.aclweb.org/anthology/W/W14/W14-0118.pdf
"(Patwardhan and Pedersen, 2006)",W14-0118,"Since the first release of WordNet, researchers have tried to use it to simulate similarity.","Except for the lesk (Lesk, 1986), vector (Patwardhan and Pedersen, 2006), and vector pairs (Patwardhan and Pedersen, 2006) algorithms, these measures are all based on synonymy and hyponymy.",Another approach to measure similarity across different languages is described by Joubarne and Inkpen (2011).,http://www.aclweb.org/anthology/W/W14/W14-0118.pdf
"(Patwardhan and Pedersen, 2006)",W14-0118,"Since the first release of WordNet, researchers have tried to use it to simulate similarity.","Except for the lesk (Lesk, 1986), vector (Patwardhan and Pedersen, 2006), and vector pairs (Patwardhan and Pedersen, 2006) algorithms, these measures are all based on synonymy and hyponymy.",Another approach to measure similarity across different languages is described by Joubarne and Inkpen (2011).,http://www.aclweb.org/anthology/W/W14/W14-0118.pdf
(2011),W14-0118,"Except for the lesk (Lesk, 1986), vector (Patwardhan and Pedersen, 2006), and vector pairs (Patwardhan and Pedersen, 2006) algorithms, these measures are all based on synonymy and hyponymy.",Another approach to measure similarity across different languages is described by Joubarne and Inkpen (2011).,"The aim of their paper is to show that it might be possible to use the scores from the English gold standards in other languages, hence making it unnecessary to create gold standards with human-assigned judgements in every single language.",http://www.aclweb.org/anthology/W/W14/W14-0118.pdf
(2011),W14-0118,"The difference between these correlations was relatively small, which is why they claim that it is possible to use the original scores from the English gold standard in other languages.","Besides Joubarne and Inkpen (2011), other studies have made an effort to translate the original datasets by Rubenstein & Goodenough and by Miller & Charles.","Hassan and Mihalcea (2009) translated these datasets into Spanish, Arabic, and Romanian.",http://www.aclweb.org/anthology/W/W14/W14-0118.pdf
(2009),W14-0118,"Besides Joubarne and Inkpen (2011), other studies have made an effort to translate the original datasets by Rubenstein & Goodenough and by Miller & Charles.","Hassan and Mihalcea (2009) translated these datasets into Spanish, Arabic, and Romanian.","For Spanish, native speakers, who were highly proficient in English, were asked to translate the datasets.",http://www.aclweb.org/anthology/W/W14/W14-0118.pdf
(2005),W14-0118,"Because of the fact that the Pearson correlation with the original datasets was 0.86, only one translator translated the datasets into Arabic and Romanian.","Finally, Gurevych (2005) translated the datasets into German.","However, no instructions, as to how it was done, were provided.",http://www.aclweb.org/anthology/W/W14/W14-0118.pdf
(2009),W14-0118,"Whenever Rubenstein & Goodenough used the word cord, Miller & Charles uses the word chord.","Inspired by Hassan and Mihalcea (2009), the following general procedure is followed in the translation of the 49 words: 2",1.,http://www.aclweb.org/anthology/W/W14/W14-0118.pdf
"(Miller et al., 1993)",W14-0118,"In addition, the relative frequencies of the English word and its translation were checked.","In order to calculate relative frequencies of the English words, the English sense-tagged corpus SemCor (Miller et al., 1993) was used.","For Dutch, such a resource was not available.",http://www.aclweb.org/anthology/W/W14/W14-0118.pdf
"(Vossen et al., 2012)",W14-0118,"For Dutch, such a resource was not available.","We are aware of the fact that the Dutch sense-tagged corpus DutchSemCor (Vossen et al., 2012) exists.","However, an effort was made to provide an equal number of examples for each meaning in this corpus.",http://www.aclweb.org/anthology/W/W14/W14-0118.pdf
"(Oostdijk et al., 2008)",W14-0118,"Although this is very useful for WSD-experiments, this makes this corpus less useful for Information Content calculations.","Therefore the frequencies of the lemmas in the Dutch corpus called SoNaR (Oostdijk et al., 2008) were used.",It was checked whether or not the English word and its Dutch counterpart were located in the same class of relative frequency.,http://www.aclweb.org/anthology/W/W14/W14-0118.pdf
"(Finkelstein et al., 2002)",W14-0118,These instructions were explained to the participants by an example of each value that could be assigned to a word pair and a general description.,"The WordSimilarity-353 Test Collection (Finkelstein et al., 2002) was used to obtain example word pairs for each value that could be assigned to a word pair.",This dataset contains two sets of English word pairs with similarity scores assigned by humans.,http://www.aclweb.org/anthology/W/W14/W14-0118.pdf
(2010),W14-0118,"We start by comparing the Dutch to the English gold standards, followed by an evaluation of the comparison between the Dutch gold standards and the similarity measures.","Finally, we try to replicate the English experiment by Pedersen (2010) using English Wordnet-LMF and WordnetTools.",5,http://www.aclweb.org/anthology/W/W14/W14-0118.pdf
(2010),W14-0118,can we reproduce the results of WordNet::Similarity with the original WordNet database with WordnetTools with the WordnetLMF version of the English WordNet.,"In order to do this, we compare the correlations that Pedersen (2010) reports when calculating the correlations between the original gold standards and the scores from the six similarity measures using WordNet::Similarity to the same procedure but using the WordNetTools to compute the similarity scores.","We used the following settings for WordNetTools:7 -lmf-file Path to WordNet in LMF format -pos no pos-filter was used -relations has hypernym, has hyperonym, -input path to English gold standards -pairs ""words"" -method all.",http://www.aclweb.org/anthology/W/W14/W14-0118.pdf
(2010),W14-0118,SM McPed McWT diff RgPed RgWT diff path 0.68 0.72 -0.04 0.69 0.78 -0.09 lch 0.71 0.72 -0.01 0.70 0.78 -0.08 wup 0.74 0.74 0.00 0.69 0.78 -0.09 res 0.74 0.75 -0.01 0.69 0.76 -0.07 jcn 0.72 0.65 0.07 0.51 0.56 -0.05 lin 0.73 0.67 0.06 0.58 0.60 -0.02,Table 3: Comparison of the results by Pedersen (2010) and the replication of these results using Wordnet-LMF and the WordnetToolkit,"7The depth parameter is set to 19, For more information, we refer to section 6.",http://www.aclweb.org/anthology/W/W14/W14-0118.pdf
(2010),W14-0118,"7The depth parameter is set to 19, For more information, we refer to section 6.","The results show that for both gold standards, we approach the correlations that are reported by Pedersen (2010), but that there are probably still differences in the implementation of the measures that lead to different output values.",6 Discussion,http://www.aclweb.org/anthology/W/W14/W14-0118.pdf
(2009),W14-0118,"Firstly, the correlations between the English and Dutch gold standards are very high.","Given the fact that this was also the case for the Spanish and English intuitions, as discussed by Hassan and Mihalcea (2009), it might be the case the people with different mother tongues have a shared sense of similarity of meaning.",It should be noted that all speakers from the different languages share a similar Western background.,http://www.aclweb.org/anthology/W/W14/W14-0118.pdf
(2013),W14-0118,"Finally, the differences between the scores from the WordNet::Similarity package and the WordNetTools show that we did not reproduce the results exactly.","This in itself is not surprising, given the fact that Fokkens et al (2013) showed that even replicating the results that Pedersen (2010) reports can be challenging.","They showed that even if the main properties are kept stable, such as software and versions of software, variations in minor properties can lead to completely different outcomes.",http://www.aclweb.org/anthology/W/W14/W14-0118.pdf
(2010),W14-0118,"Finally, the differences between the scores from the WordNet::Similarity package and the WordNetTools show that we did not reproduce the results exactly.","This in itself is not surprising, given the fact that Fokkens et al (2013) showed that even replicating the results that Pedersen (2010) reports can be challenging.","They showed that even if the main properties are kept stable, such as software and versions of software, variations in minor properties can lead to completely different outcomes.",http://www.aclweb.org/anthology/W/W14/W14-0118.pdf
"(Fellbaum, 1998)",S13-2019,Knowledge-based approaches to semantic relatedness use the features of the knowledge base to measure the relatedness.,"One of most frequently used semantic network is the Princeton's WordNet (Fellbaum, 1998) which groups words into synonyms sets (called synsets) and includes 26 semantic relations between those synsets, including: hypernymy, hyponymy, meronymy, entailment ... To measure relatedness, most of those approaches rely on the structure of the semantic network, such as the semantic link path, depth (Leacock and Chodorow, 1998; Wu and Palmer, 1994), direction (Hirst and St-Onge, 1998), or type (Tsatsaronis et al., 2010).",Our phrasal semantic relatedness approach is inspired from those methods.,http://www.aclweb.org/anthology/S/S13/S13-2019.pdf
"(Leacock and Chodorow, 1998",S13-2019,Knowledge-based approaches to semantic relatedness use the features of the knowledge base to measure the relatedness.,"One of most frequently used semantic network is the Princeton's WordNet (Fellbaum, 1998) which groups words into synonyms sets (called synsets) and includes 26 semantic relations between those synsets, including: hypernymy, hyponymy, meronymy, entailment ... To measure relatedness, most of those approaches rely on the structure of the semantic network, such as the semantic link path, depth (Leacock and Chodorow, 1998; Wu and Palmer, 1994), direction (Hirst and St-Onge, 1998), or type (Tsatsaronis et al., 2010).",Our phrasal semantic relatedness approach is inspired from those methods.,http://www.aclweb.org/anthology/S/S13/S13-2019.pdf
"Wu and Palmer, 1994)",S13-2019,Knowledge-based approaches to semantic relatedness use the features of the knowledge base to measure the relatedness.,"One of most frequently used semantic network is the Princeton's WordNet (Fellbaum, 1998) which groups words into synonyms sets (called synsets) and includes 26 semantic relations between those synsets, including: hypernymy, hyponymy, meronymy, entailment ... To measure relatedness, most of those approaches rely on the structure of the semantic network, such as the semantic link path, depth (Leacock and Chodorow, 1998; Wu and Palmer, 1994), direction (Hirst and St-Onge, 1998), or type (Tsatsaronis et al., 2010).",Our phrasal semantic relatedness approach is inspired from those methods.,http://www.aclweb.org/anthology/S/S13/S13-2019.pdf
"(Hirst and St-Onge, 1998)",S13-2019,Knowledge-based approaches to semantic relatedness use the features of the knowledge base to measure the relatedness.,"One of most frequently used semantic network is the Princeton's WordNet (Fellbaum, 1998) which groups words into synonyms sets (called synsets) and includes 26 semantic relations between those synsets, including: hypernymy, hyponymy, meronymy, entailment ... To measure relatedness, most of those approaches rely on the structure of the semantic network, such as the semantic link path, depth (Leacock and Chodorow, 1998; Wu and Palmer, 1994), direction (Hirst and St-Onge, 1998), or type (Tsatsaronis et al., 2010).",Our phrasal semantic relatedness approach is inspired from those methods.,http://www.aclweb.org/anthology/S/S13/S13-2019.pdf
"(Tsatsaronis et al., 2010)",S13-2019,Knowledge-based approaches to semantic relatedness use the features of the knowledge base to measure the relatedness.,"One of most frequently used semantic network is the Princeton's WordNet (Fellbaum, 1998) which groups words into synonyms sets (called synsets) and includes 26 semantic relations between those synsets, including: hypernymy, hyponymy, meronymy, entailment ... To measure relatedness, most of those approaches rely on the structure of the semantic network, such as the semantic link path, depth (Leacock and Chodorow, 1998; Wu and Palmer, 1994), direction (Hirst and St-Onge, 1998), or type (Tsatsaronis et al., 2010).",Our phrasal semantic relatedness approach is inspired from those methods.,http://www.aclweb.org/anthology/S/S13/S13-2019.pdf
"(Harabagiu et al., 1999)",S13-2019,Figure 1: Example of the semantic network around the word car.,"ponym/hypernym relations but also all 26 available semantic relations found in WordNet in addition to relations extracted from each of the eXtended WordNet (Harabagiu et al., 1999) synset's logical form.","To implement our idea, we created a weighted and directed semantic network based on the relations of WordNet and eXtended WordNet.",http://www.aclweb.org/anthology/S/S13/S13-2019.pdf
"(Dijkstra, 1959)",S13-2019,1The weight can be seen as the cost of traversing an edge; hence a lower weight is assigned to a highly contributory relation.,"2The shortest path is based on an implementation of Dijkstras graph search algorithm (Dijkstra, 1959)",109,http://www.aclweb.org/anthology/S/S13/S13-2019.pdf
"(Harris, 1954)",S13-2019,2.2 Distributional Similarity Model,"Distributional similarity models rely on the distributional hypothesis (Harris, 1954) to represent a word by its context in order to compare word semantics.","There are various approach for the selection, representation, and comparison of contextual data.",http://www.aclweb.org/anthology/S/S13/S13-2019.pdf
(2008),S13-2019,"Most use the vector space model to represent the context as dimensions in a vector space, where the feature are frequency of co-occurrence of the context words, and the comparison is usually the cosine similarity.","To go beyond lexical semantics and to represent phrases, a compositional model is created, some use the addition or multiplication of vectors such as Mitchell and Lapata (2008), or the use of tensor product to account for word order as in the work of Widdows (2008), or a more complex model as the work of Grefenstette and Sadrzadeh (2011).","In our model, we are inspired by those various work, and more specifically by the work of Mitchell and Lapata (2008).",http://www.aclweb.org/anthology/S/S13/S13-2019.pdf
(2008),S13-2019,"Most use the vector space model to represent the context as dimensions in a vector space, where the feature are frequency of co-occurrence of the context words, and the comparison is usually the cosine similarity.","To go beyond lexical semantics and to represent phrases, a compositional model is created, some use the addition or multiplication of vectors such as Mitchell and Lapata (2008), or the use of tensor product to account for word order as in the work of Widdows (2008), or a more complex model as the work of Grefenstette and Sadrzadeh (2011).","In our model, we are inspired by those various work, and more specifically by the work of Mitchell and Lapata (2008).",http://www.aclweb.org/anthology/S/S13/S13-2019.pdf
(2011),S13-2019,"Most use the vector space model to represent the context as dimensions in a vector space, where the feature are frequency of co-occurrence of the context words, and the comparison is usually the cosine similarity.","To go beyond lexical semantics and to represent phrases, a compositional model is created, some use the addition or multiplication of vectors such as Mitchell and Lapata (2008), or the use of tensor product to account for word order as in the work of Widdows (2008), or a more complex model as the work of Grefenstette and Sadrzadeh (2011).","In our model, we are inspired by those various work, and more specifically by the work of Mitchell and Lapata (2008).",http://www.aclweb.org/anthology/S/S13/S13-2019.pdf
(2008),S13-2019,"To go beyond lexical semantics and to represent phrases, a compositional model is created, some use the addition or multiplication of vectors such as Mitchell and Lapata (2008), or the use of tensor product to account for word order as in the work of Widdows (2008), or a more complex model as the work of Grefenstette and Sadrzadeh (2011).","In our model, we are inspired by those various work, and more specifically by the work of Mitchell and Lapata (2008).","The compositional model is based on phrase words vectors addition, where each vector is composed of the collocation pointwise mutual information of the word up to a window of 3 words left and right of the main word.",http://www.aclweb.org/anthology/S/S13/S13-2019.pdf
"(Brants and Franz, 2006)",S13-2019,"The compositional model is based on phrase words vectors addition, where each vector is composed of the collocation pointwise mutual information of the word up to a window of 3 words left and right of the main word.","The corpus used to collect the features and their frequencies is the Web 1TB corpus (Brants and Franz, 2006).","For the Interview to Formal Meeting example, the vector of the word interview is first created from the corpus of the top 1000 words collocating interview between the window of 1 to 3 words with their frequencies.",http://www.aclweb.org/anthology/S/S13/S13-2019.pdf
"(Witten et al., 1999)",S13-2019,"The task provided an English dataset of 15,628 word-phrases, 60% annotated for training and 40% for testing, with the goal of classifying each word-phrase as either positive or negative.","To transform the semantic relatedness measure to a semantic similarity classification one, we first calculated the semantic relatedness of each word-phrase in the training set, and used JRip, WEKA's (Witten et al., 1999) implementation of Cohen's RIPPER rule learning algorithm (Cohen and Singer, 1999), in order to learn a set of rules that can differentiate between a positive semantic similarity and a negative one.","The classifier resulted in rules for the semantic network model based relatedness that could be summarized as follows: If the semantic relatedness of the word-phrase is over 61% then the similarity is positive, otherwise it is negative.",http://www.aclweb.org/anthology/S/S13/S13-2019.pdf
"(Cohen and Singer, 1999)",S13-2019,"The task provided an English dataset of 15,628 word-phrases, 60% annotated for training and 40% for testing, with the goal of classifying each word-phrase as either positive or negative.","To transform the semantic relatedness measure to a semantic similarity classification one, we first calculated the semantic relatedness of each word-phrase in the training set, and used JRip, WEKA's (Witten et al., 1999) implementation of Cohen's RIPPER rule learning algorithm (Cohen and Singer, 1999), in order to learn a set of rules that can differentiate between a positive semantic similarity and a negative one.","The classifier resulted in rules for the semantic network model based relatedness that could be summarized as follows: If the semantic relatedness of the word-phrase is over 61% then the similarity is positive, otherwise it is negative.",http://www.aclweb.org/anthology/S/S13/S13-2019.pdf
"(Brants and Franz, 2006)",S13-2019,"For example, the phrase big picture is used literally in the sentence Click here for a bigger picture and figuratively in To solve this problem, you have to look at the bigger picture.","Our approach for this task is a supervised approached based on two main components: first, the availability of the phrases most frequent collocating expressions in a large corpus, and more specifically the top 1000 phrases by frequency in Web 1TB corpus (Brants and Franz, 2006).","For example, for the phrase big picture, we collect the top 1000 phrases that come before and after the phrase in a corpus, those includes look at the, see the, understand the .....",http://www.aclweb.org/anthology/S/S13/S13-2019.pdf
"(Witten et al., 1999)",S13-2019,"The data set contains a total of 1114 training instances, and 518 test instances.","We use the training data and computed the three features (Frequent Collocation (FC), Semantic Relatedness word Before (SRB), and Semantic Relatedness word After (SRA), and used JRip, WEKA's (Witten et al., 1999) implementation of Cohen's RIPPER rule learning algorithm (Cohen and Singer, 1999) to learn a set of rule that differentiate between a figurative and literal phrase use.","This method resulted in a set of rules that can be summarized as follows: if FC is equal to 0 and SRB < 75% then it is used literally in this context, else if FC is equal to 0 and SRA < 75% then it is is also used literally, otherwise it is used figuratively.",http://www.aclweb.org/anthology/S/S13/S13-2019.pdf
"(Cohen and Singer, 1999)",S13-2019,"The data set contains a total of 1114 training instances, and 518 test instances.","We use the training data and computed the three features (Frequent Collocation (FC), Semantic Relatedness word Before (SRB), and Semantic Relatedness word After (SRA), and used JRip, WEKA's (Witten et al., 1999) implementation of Cohen's RIPPER rule learning algorithm (Cohen and Singer, 1999) to learn a set of rule that differentiate between a figurative and literal phrase use.","This method resulted in a set of rules that can be summarized as follows: if FC is equal to 0 and SRB < 75% then it is used literally in this context, else if FC is equal to 0 and SRA < 75% then it is is also used literally, otherwise it is used figuratively.",http://www.aclweb.org/anthology/S/S13/S13-2019.pdf
"(Nagata et al, 2001, ",P08-1113,There have been two approaches to finding such parenthetical translations.,"One is to assume that the English term e1e2...en is given and use a search engine to retrieve text snippets containing e1e2...en from predominately non-English web pages (Nagata et al, 2001, Kwok et al, 2005).","Another method (Cao et al, 2007) is to go through a nonEnglish corpus and collect all instances that match the parenthetical pattern in (4).",http://www.aclweb.org/anthology/P/P08/P08-1113.pdf
"Kwok et al, 2005)",P08-1113,There have been two approaches to finding such parenthetical translations.,"One is to assume that the English term e1e2...en is given and use a search engine to retrieve text snippets containing e1e2...en from predominately non-English web pages (Nagata et al, 2001, Kwok et al, 2005).","Another method (Cao et al, 2007) is to go through a nonEnglish corpus and collect all instances that match the parenthetical pattern in (4).",http://www.aclweb.org/anthology/P/P08/P08-1113.pdf
"(Cao et al, 2007)",P08-1113,"One is to assume that the English term e1e2...en is given and use a search engine to retrieve text snippets containing e1e2...en from predominately non-English web pages (Nagata et al, 2001, Kwok et al, 2005).","Another method (Cao et al, 2007) is to go through a nonEnglish corpus and collect all instances that match the parenthetical pattern in (4).",We followed the second approach since it does not require a predefined list of English terms and is amendable for extraction at large scale.,http://www.aclweb.org/anthology/P/P08/P08-1113.pdf
"(Kwok et al, 2005)",P08-1113,"In both cases, one can obtain a list of candidate pairs, where the translation of the in-parenthesis terms is a suffix of the pre-parenthesis text.","The lengths and frequency counts of the suffixes have been used to determine what is the translation of the in-parenthesis term (Kwok et al, 2005).","For example, Table 1 lists a set of Chinese segments (with word-to-word translation underneath) that precede the English term Lower Egypt.",http://www.aclweb.org/anthology/P/P08/P08-1113.pdf
"(MacArthur, 1967)",P08-1113,The example in row f is ruled out because '/' is not found in the pre-parenthesis text.,"Examples with translations in Function of the initalic parenthesis text a ARTi3l9t1.4~3.0ZN to provide citation (MacArthur, 1967) The range of its values is within","1.4~3.0 (MacArthur, 1967) b cJILS/ (VN901 flight information 15:20-22:30) Vietnam Airlines Beijing/Ho Chi Minh (VN901 15:20-22:30) c ' Af*#(255-8FT) product Id.",http://www.aclweb.org/anthology/P/P08/P08-1113.pdf
"(MacArthur, 1967)",P08-1113,"Examples with translations in Function of the initalic parenthesis text a ARTi3l9t1.4~3.0ZN to provide citation (MacArthur, 1967) The range of its values is within","1.4~3.0 (MacArthur, 1967) b cJILS/ (VN901 flight information 15:20-22:30) Vietnam Airlines Beijing/Ho Chi Minh (VN901 15:20-22:30) c ' Af*#(255-8FT) product Id.","sale of pool table (255-8FT) d // _tV1T_- // void main ( void ) function declaration // main program // void main (void ) e *,*,?",http://www.aclweb.org/anthology/P/P08/P08-1113.pdf
"(Sag et al, 2003)",P08-1113,"Since parenthetical translations are mostly translation of terms, it makes sense to further constrain the left boundary of the Chinese side to be a term boundary.","Determining what should be counted as a term is a difficult task and there are not yet well-accepted solutions (Sag et al, 2003).",We compiled an approximate term vocabulary by taking the top 5 million most frequent Chinese queries as according to a fully anonymized collection of search engine query logs.,http://www.aclweb.org/anthology/P/P08/P08-1113.pdf
"(Brown et al, 1993",P08-1113,4 Word Alignment,"Word alignment is a well-studied topic in Machine Translation with many algorithms having been proposed (Brown et al, 1993; Och and Ney 2003).","We used a modified version of one of the simplest word alignment algorithms called Competitive Linking (Melamed, 2000).",http://www.aclweb.org/anthology/P/P08/P08-1113.pdf
"(Melamed, 2000)",P08-1113,"Word alignment is a well-studied topic in Machine Translation with many algorithms having been proposed (Brown et al, 1993; Och and Ney 2003).","We used a modified version of one of the simplest word alignment algorithms called Competitive Linking (Melamed, 2000).",The algorithm assumes that there is a score associated with each pair of words in a bi-text.,http://www.aclweb.org/anthology/P/P08/P08-1113.pdf
(2004),P08-1113,The algorithm terminates when there are no more links to make.,Tiedemann (2004) compared a variety of alignment algorithms and found Competitive Linking to have one of the highest precision scores.,"A disadvantage of Competitive Linking, however, is that the alignments are restricted word-to-word alignments, which implies that multi-word expressions can only be partially linked at best.",http://www.aclweb.org/anthology/P/P08/P08-1113.pdf
"(Gale and Church, 1991)",P08-1113,4.2 Link scoring,"We used T2 (Gale and Church, 1991) as the link score in the modified competitive linking algorithm, although there are many other possible choices for the link scores, such as X2 (Zhang, S. Vogel.","2005), log-likelihood ratio (Dunning, 1993) and discriminatively trained weights (Taskar et al, 2005).",http://www.aclweb.org/anthology/P/P08/P08-1113.pdf
"(Dunning, 1993)",P08-1113,"We used T2 (Gale and Church, 1991) as the link score in the modified competitive linking algorithm, although there are many other possible choices for the link scores, such as X2 (Zhang, S. Vogel.","2005), log-likelihood ratio (Dunning, 1993) and discriminatively trained weights (Taskar et al, 2005).",The T2 statistics for a pair of words e; and fj is computed as,http://www.aclweb.org/anthology/P/P08/P08-1113.pdf
"(Taskar et al, 2005)",P08-1113,"We used T2 (Gale and Church, 1991) as the link score in the modified competitive linking algorithm, although there are many other possible choices for the link scores, such as X2 (Zhang, S. Vogel.","2005), log-likelihood ratio (Dunning, 1993) and discriminatively trained weights (Taskar et al, 2005).",The T2 statistics for a pair of words e; and fj is computed as,http://www.aclweb.org/anthology/P/P08/P08-1113.pdf
