marker,article,previous,current,next,link
"(Tao et al., 2006)",E09-1091,"In addition, (Klementiev and Roth, 2006) may not scale for large corpora, as they examine every word in the target side as a potential transliteration equivalent.","NETE mining from comparable corpora using phonetic mappings was proposed in (Tao et al., 2006), but the need for language specific knowledge restricts its applicability across languages.","We proposed the idea of mining NETEs from multilingual articles with similar content in (Udupa, et al., 2008).",http://www.aclweb.org/anthology/E/E09/E09-1091.pdf
(2009),N12-1038,"Tasks requiring a uniform theme in a segment might tolerate false positives, while tasks requiring complete ideas or complete themes might accept false negatives.","Georgescul et al (2009) note that while WindowDiff technically penalizes false positives and false negatives equally, false positives are in fact more likely; a false positive error occurs anywhere were there are more computed boundaries than boundaries in the reference, while a false negative error can only occur when a boundary is missed.","Consider figure 1, only 3 of the 8 windows contain a boundary; only those 3 windows may have false negatives (a missed boundary), while all other windows may contain false positives (too many boundaries).",http://www.aclweb.org/anthology/N/N12/N12-1038.pdf
"(Lafferty et al., 2001)",P06-1009,This paper presents an alternative discriminative method for word alignment.,"We use a conditional random field (CRF) sequence model, which allows for globally optimal training and decoding (Lafferty et al., 2001).",The inference algo,http://www.aclweb.org/anthology/P/P06/P06-1009.pdf
"(Malouf, 2002",P06-1009,"While the log-likelihood cannot be maximised for the parameters, A, in closed form, it is a convex function, and thus we resort to numerical optimisation to find the globally optimal parameters.","We use L-BFGS, an iterative quasi-Newton optimisation method, which performs well for training log-linear models (Malouf, 2002; Sha and Pereira, 2003).",Each L-BFGS iteration requires the objective value and its gradient with respect to the model parameters.,http://www.aclweb.org/anthology/P/P06/P06-1009.pdf
"(Och and Ney, 2003)",P06-1009,"Furthermore, the model allows regularisation using a prior over the parameters, a very effective and simple method for limiting over-fitting.","We use a similar graphical structure to the directed hidden Markov model (HMM) from GIZA++ (Och and Ney, 2003).","This models one-to-many alignments, where each target word is aligned with zero or more source words.",http://www.aclweb.org/anthology/P/P06/P06-1009.pdf
(2003),P06-1009,"In order to produce many-to-many alignments we combine the outputs of two models, one for each translation direction.",We use the refined method from Och and Ney (2003) which starts from the intersection of the two models' predictions and 'grows' the predicted alignments to neighbouring alignments which only appear in the output of one of the models.,4 Experiments,http://www.aclweb.org/anthology/P/P06/P06-1009.pdf
"(Mihalcea and Pedersen, 2003)",P06-1009,"We used the original 37 sentence trial set for feature used these as our training and test sets, respectively.","For parameter tuning, we used the 17 sentence trial set from the Romanian-English corpus in the 2003 NAACL task (Mihalcea and Pedersen, 2003).","For this task we have used the same test data as the competition entrants, and therefore can directly compare our results.",http://www.aclweb.org/anthology/P/P06/P06-1009.pdf
(2005),P06-1009,"Unlike the unsupervised entrants in the 2003 task, we require word-aligned training data, and therefore must cannibalise the test set for this purpose.",We follow Taskar et al (2005) by using the first 100 test sentences for training and the remaining 347 for testing.,"This means that our results should not be directly compared to those entrants, other than in an approximate manner.",http://www.aclweb.org/anthology/P/P06/P06-1009.pdf
(1966),J98-3009,"251-263) is actually an exercise in metaevaluation, for the object of her evaluation is not any (group of) MT systems, but rather the criteria in terms of which MT systems are commonly evaluated.","After reviewing those that were employed by the Automatic Language Processing Advisory Committee (1966) and those that were designed in the early 1990s on behalf of ARPA, a major U.S. funding agency, the author concludes that translation quality cannot be defined in the abstract, mainly because there is no such thing as ""the correct translation,"" and pleads for an evaluation that explicitly takes into account the specific purpose for which a translation has been made.","Now that I have gone through the individual papers, the obvious question is how much they contribute to the overall goal of the book, i.e., to help build a bridge between MT and translation theory.",http://www.aclweb.org/anthology/J/J98/J98-3009.pdf
(2008),P15-2128,The corpus transfer approach consists of transferring a source training corpus into the target language and building a corpus-based classifier in the target language.,"Banea et al (2008) follow this approach, translating an annotated corpus via MT.",Balamurali et al (2012) use linked Wordnets to,http://www.aclweb.org/anthology/P/P15/P15-2128.pdf
"(Hall et al., 2009)",P15-2128,bels.,"We performed the experiments with the weka toolkit (Hall et al., 2009), using a filter to convert strings into word vectors, and two learning algorithms: SVMs and bagging with Fast Decision Tree Learner as base algorithm.",Figure 4 represents the experiments conducted with the EN test set.,http://www.aclweb.org/anthology/P/P15/P15-2128.pdf
(2014),P15-2128,"In language pairs in which no high-quality MT systems are available, MT may not be an appropriate transfer method (Popat et al., 2013; Balamurali et al., 2012).","However, Balahur and Turchi (2014) conclude that MT systems can be used to build sentiment analysis systems that can obtain comparable performances to the one obtained for English.",All this work was performed at sentence or document level.,http://www.aclweb.org/anthology/P/P15/P15-2128.pdf
"(Koehn et al., 2007)",P15-2128,"That is, the text between the relevant segment boundaries is not reordered nor mixed with the text outside these boundaries.3 Thus the text in the target language segment comes only from the corresponding source language segment.","We use the Moses statistical MT (SMT) toolkit (Koehn et al., 2007) to perform the translation.","In Moses, these reordering constraints are implemented with the zone and wall tags, as indicated in Figure 3.",http://www.aclweb.org/anthology/P/P15/P15-2128.pdf
"(Koehn, 2010)",P15-2128,The LM was an interpolation of LMs trained with the target part of the parallel corpora and with the rest of the Booking and Trip Advisor data (last 2 rows of Table 2).,"We used Moses Experiment Management System (Koehn, 2010) with all default options to build the SMT system.7 Because the common crawl corpus contained English sentences in the Spanish side, we applied an LM-based filter to select only sentence pairs in which the Spanish side was better scored by the Spanish LM than with the English LM, and conversely for the English side.",We conducted supervised sentiment classification experiments for settings a and b of use case I (see Section 2).,http://www.aclweb.org/anthology/P/P15/P15-2128.pdf
"(Moens and Steedman, 1988",W97-0318,1 Introduction,"The ability to distinguish states, e.g., ""Mark seems happy,"" from events, e.g., ""Renee ran down the street,"" is a necessary prerequisite for interpreting certain adverbial adjuncts, as well as identifying temporal constraints between sentences in a discourse (Moens and Steedman, 1988; Dorr, 1992; Klavans, 1994).","Furthermore, stativity is the first of three fundamental temporal distinctions that compose the aspectual class of a clause.",http://www.aclweb.org/anthology/W/W97/W97-0318.pdf
"(Moens and Steedman, 1988",W97-0318,"Furthermore, stativity is the first of three fundamental temporal distinctions that compose the aspectual class of a clause.","Aspectual classification is a necessary component for a system that analyzes temporal constraints, or performs lexical choice and tense selection in machine translation (Moens and Steedman, 1988; Passonneau, 1988; Dorr, 1992; Klavans, 1994).","Researchers have used empirical analysis of corpora to develop linguistically-based numerical indicators that aid in aspectual classification (Klavans and Chodorow, 1992; Siegel and McKeown, 1996).",http://www.aclweb.org/anthology/W/W97/W97-0318.pdf
"(Pereira, Tishby, and Lee, 1993",W97-0318,Table 4: Breakdown of verb occurrences.,"and for the automatic identification of semantically related groups of words (Pereira, Tishby, and Lee, 1993; Hatzivassiloglou and McKeown, 1993).","For more detail on the machine learning experiments described here, see Siegel (1997).",http://www.aclweb.org/anthology/W/W97/W97-0318.pdf
"(Duda and Hart, 1973)",W97-0318,2This test was suggested by Judith Klavans (personal communication).,"3Similar baselines for comparison have been used for many classification problems (Duda and Hart, 1973), e.g., part-of-speech tagging (Church, 1988; Allen, 1995).",159,http://www.aclweb.org/anthology/W/W97/W97-0318.pdf
"(Halliday and Hasan, 1976)",P11-2022,1 Introduction,"A well-written document is coherent (Halliday and Hasan, 1976)- it structures information so that each new piece of information is interpretable given the preceding context.","Models that distinguish coherent from incoherent documents are widely used in generation, summarization and text evaluation.",http://www.aclweb.org/anthology/P/P11/P11-2022.pdf
"(McIntyre and Lapata, 2010)",P11-2022,"Since its initial appearance (Lapata and Barzilay, 2005; Barzilay and Lapata, 2005), the entity grid has been used to perform wide variety of tasks.","In addition to its first proposed application, sentence ordering for multidocument summarization, it has proven useful for story generation (McIntyre and Lapata, 2010), readability prediction (Pitler et al., 2010; Barzilay and Lapata, 2008) and essay scoring (Burstein et al., 2010).","It also remains a critical component in state-of-the-art sentence ordering models (Soricut and Marcu, 2006; Elsner and Charniak, 2008), which typically combine it with other independently-trained models.",http://www.aclweb.org/anthology/P/P11/P11-2022.pdf
(2005),P11-2022,We follow the -COREFERENCE setting from Barzilay and Lapata (2005) and perform heuristic coreference resolution by linking mentions which share a head noun.,"Although some versions of the grid use an automatic coreference resolver, this often fails to improve results; in Barzilay and Lapata (2005), coreference improves results in only one of their target domains, and actually hurts for readability prediction.","Their results, moreover, rely on running coreference on the document in its original order; in a summarization task, the correct order is not known, which will cause even more resolver errors.",http://www.aclweb.org/anthology/P/P11/P11-2022.pdf
"(Barzilay and Lapata, 2005)",P11-2022,"We test our model on two experimental tasks, both testing its ability to distinguish between correct and incorrect orderings for wSi articles.","In document discrimination (Barzilay and Lapata, 2005), we compare a document to a random permutation of its sentences, scoring the system correct if it prefers the original ordering4.","We also evaluate on the more difficult task of sentence insertion (Chen et al., 2007; Elsner and Charniak, 2008).",http://www.aclweb.org/anthology/P/P11/P11-2022.pdf
"(Elsner and Charniak, 2010)",P11-2022,"This enables the model to pick up premodifiers in phrases like ""a Bush spokesman"", which do not head NPs in the Penn Treebank.","Finding these is also necessary to maximize coreference recall (Elsner and Charniak, 2010).",We give nonhead mentions the role X.,http://www.aclweb.org/anthology/P/P11/P11-2022.pdf
"(Andrew and Gao, 2007)",P11-2022,The standard entity grid estimates that such an entity will be the subject of the next sentence with a probability of about,"7We train the regressor using OWLQN (Andrew and Gao, 2007), modified and distributed by Mark Johnson as part of the Charniak-Johnson parse reranker (Charniak and Johnson, 2005).",127,http://www.aclweb.org/anthology/P/P11/P11-2022.pdf
(2008),P11-2022,This model is significantly better than the standard grid on discrimination (84% versus 80%) and has a higher mean score on insertion (24% versus 21%)8.,"The best WSJ results in previous work are those of Elsner and Charniak (2008), who combine the entity grid with models based on pronoun coreference and discourse-new NP detection.",We report their scores in the table.,http://www.aclweb.org/anthology/P/P11/P11-2022.pdf
(2005),P11-2022,"To construct a grid, we must first decide which textual units are to be considered ""entities"", and how the different mentions of an entity are to be linked.",We follow the -COREFERENCE setting from Barzilay and Lapata (2005) and perform heuristic coreference resolution by linking mentions which share a head noun.,"Although some versions of the grid use an automatic coreference resolver, this often fails to improve results; in Barzilay and Lapata (2005), coreference improves results in only one of their target domains, and actually hurts for readability prediction.",http://www.aclweb.org/anthology/P/P11/P11-2022.pdf
[1992],J96-1003,Spelling correction is an important application for error-tolerant recognition.,There has been substantial work on spelling correction (see the excellent review by Kukich [1992]).,"All methods essentially enumerate plausible candidates that resemble the incorrect word, and use additional heuristics to rank the results.'",http://www.aclweb.org/anthology/J/J96/J96-1003.pdf
(1992),J96-1003,"For edit distance thresholds 1, 2, and 3, we selected 1,000 words at random from each word list and perturbed them by random insertions, deletions, replacements, and transpositions, so that each misspelled word had the required edit distance from the correct form.","Kukich (1992), citing a number of studies, reports that typically 80% of misspelled words contain a single error of one of the unit operations, although",84,http://www.aclweb.org/anthology/J/J96/J96-1003.pdf
"(Cortes and Vapnik, 1995)",D09-1160,"However, 'explicit' feature combinations significantly increase the feature space, which slows down not only training but also testing of the classifier.","Kernel-based methods such as support vector machines (SVMs) consider feature combinations space-efficiently by using a polynomial kernel function (Cortes and Vapnik, 1995).","The kernelbased classification is, however, known to be very slow in NLP tasks, so efficient classifiers should sum up the weights of the explicit conjunctive features (Isozaki and Kazawa, 2002; Kudo and Matsumoto, 2003; Goldberg and Elhadad, 2008).",http://www.aclweb.org/anthology/D/D09/D09-1160.pdf
(2005),D09-1160,"E1-regularized log-linear models (E1-LLMs), on the other hand, provide sparse solutions, in which weights of irrelevant features are exactly zero, by assuming a Laplacian prior on the weights (Tibshirani, 1996; Kazama and Tsujii, 2003; Goodman, 2004; Gao et al., 2007).","However, as Kazama and Tsujii (2005) have reported in a text categorization task and we later confirm in a dependency parsing task, when most features regarded as irrelevant during training E1-LLMs appear rarely in the task, we cannot greatly reduce the number of active features in each classification.","In the end, when efficiency is a major concern, we must use exhaustive feature selection (Wu et al., 2007; Okanohara and Tsujii, 2009) or even restrict the order of conjunctive features at the expense of accuracy.",http://www.aclweb.org/anthology/D/D09/D09-1160.pdf
(2003),D09-1160,"1) is O(|xd|), which is linear with respect to the number of active features in xd within the expanded feature space Fd.","Heuristic Kernel Expansion (SVM-HKE) To make the weight vector sparse, Kudo and Matsumoto (2003) proposed a heuristic method that filters out less useful features whose absolute weight values are less than a pre-defined threshold .2 They reported that increased threshold value  resulted in a dramatically sparse feature space Fd, which had the side-effects of accuracy degradation and classifier speed-up.",3 Proposed Method,http://www.aclweb.org/anthology/D/D09/D09-1160.pdf
"(Kudo and Matsumoto, 2003)",D09-1160,"Without fstries, little speed-up of SVM-HKE classifiers versus the SVM-KE classifiers (in Table 3) was obtained due to the mild reduction in the average number of active features |xd |in the classification.","This result conforms to the results reported in (Kudo and Matsumoto, 2003).","The parsing speed reached 14,937 sentences per second with accuracy of 90.91% (SVM-HKE, d = 3, Q = 0.002).",http://www.aclweb.org/anthology/D/D09/D09-1160.pdf
"(Ganchev and Dredze, 2008)",D09-1160,"To speed up classifiers used in a real-time application, we can build fstries incrementally by using feature vectors generated from user inputs.","When we run our classifiers on resource-tight environments such as cell-phones, we can use a random feature mixing technique (Ganchev and Dredze, 2008) or a memory-efficient trie implementation based on a succinct data structure (Jacobson, 1989; Delpratt et al., 2006) to reduce required memory usage.","We will combine our method with other techniques that provide sparse solutions, for example, kernel methods on a budget (Dekel and Singer, 2007; Dekel et al., 2008; Orabona et al., 2008) or kernel approximation (surveyed in Kashima et al (2009)).",http://www.aclweb.org/anthology/D/D09/D09-1160.pdf
"(Kudo and Matsumoto, 2002",D09-1160,"Due to space limitations, we omit the details of the parsing algorithm.","We used the standard feature set tailored for this task (Kudo and Matsumoto, 2002; Sassano, 2004; Iwatate et al., 2008) (Table 1).","Note that features listed in the 'Between bunsetsus' row represent contexts between the target pair of bunsetsus and appear independently from other features, which will become an obstacle to finding the longest prefix vector.",http://www.aclweb.org/anthology/D/D09/D09-1160.pdf
"(Kurohashi and Nagao, 2003)",D09-1160,This task is therefore a better measure of our method than simple sequential labeling such as POS tagging or named-entity recognition.,"For evaluation, we used Kyoto Text Corpus Version 4.0 (Kurohashi and Nagao, 2003), Mainichi news articles in 1995 that have been manually annotated with dependency relations.6 The training, development, and test sets included 24,283, 4833, and 9284 sentences, and 234,685, 47,571, and 89,874 bunsetsus, respectively.","The training samples generated from the training set included 150,064 positive and 146,712 negative samples.",http://www.aclweb.org/anthology/D/D09/D09-1160.pdf
"(Sakaki et al., 2010)",D13-1114,More work has been done in the latter category: analysis of social phenomena in a non-English context.,"A well-known study evaluated usage of Twitter in the aftermath of the 2010 earthquake in Japan (Sakaki et al., 2010).","Another Japanese-oriented study evaluated the impact of television on tweeted content (Akioka et al., 2010).",http://www.aclweb.org/anthology/D/D13/D13-1114.pdf
"(Mislove et al., 2011)",D13-1114,"(Rao et al., 2010; Pennacchiotti and Popescu, 2011; Zamal et al., 2012), the dominant way of obtaining datasets consisting of Twitter users with highconfidence gender-labels is to use gender-name associations.","The use of name-gender associations are problematic when non-English content is considered because databases of anglophone name-gender associations are no longer useful (Mislove et al., 2011).","We instead used Amazon Mechanical Turk workers to identify the gender of the person shown in the profile picture associated with a user's account (Liu and Ruths, 2013).",http://www.aclweb.org/anthology/D/D13/D13-1114.pdf
"(Zamal et al., 2012)",D13-1114,"We followed prior work in this regard, particularly since our intent here is to evaluate the relevance of existing gender inference machinery on other languages.","For the present study, we adopted an SVM-based classifier, described in (Zamal et al., 2012), that incorporated nearly all features used in prior work and showed comparable (and sometimes better) accuracy than other methods.",Parameter values and kernel choices for the SVM are discussed in the source paper.,http://www.aclweb.org/anthology/D/D13/D13-1114.pdf
"(Liu and Ruths, 2013)",D13-1114,Each dataset consisted of approximately 1000 users who tweeted primarily in a given language.,"We used Amazon Mechanical Turk to manually label each user with their gender, using a language-agnostic labeling strategy (Liu and Ruths, 2013).","For classification, we employed a performant support vector machine-based (SVM) technique that has been used in a range of studies, e.g.",http://www.aclweb.org/anthology/D/D13/D13-1114.pdf
"(Moilanen and Pulman, 2008",W15-2911,Dragut et al (2012) examined inconsistency across lexicons.,"Negation and its scope has been studied extensively (Moilanen and Pulman, 2008; Pang and Lee, 2004; Choi and Cardie, 2009).","Polar words can even carry an opposite sentiment in a new domain (Blitzer et al., 2007; Andreevskaia and Bergler, 2006; Schwartz et al., 2013; Wilson et al., 2005).",http://www.aclweb.org/anthology/W/W15/W15-2911.pdf
(2006),W15-2911,"Taboada et al (2011) presented a polarity lexicon with negation words and intensifiers, which they refer to as contextual valence shifters (Polanyi and Zaenen, 2006).","Research by Kennedy and Inkpen (2006) dealt with negation and intensity by creating a discrete modifier scale, namely, the occurrence of good might be either good, not good, intensified good, or diminished good.",A similar approach was taken by Steinberger et al (2012).,http://www.aclweb.org/anthology/W/W15/W15-2911.pdf
"(Go et al., 2009)",W15-2911,"We compute the LMI over a corpus of positive, respectively negative tweets, in order to obtain positive (LMIpos) and negative (LMIneg) bigram scores.","We combine the following freely available data, leading to a large corpus of positive and negative tweets: - 1.6 million automatically labeled tweets from the Sentiment140 data set (Go et al., 2009), collected by searching for positive and negative emoticons;",1An online demo illustrating the score values and distributional term similarities in this Twitter space can be found at the LT website http://maggie.lt.informatik.,http://www.aclweb.org/anthology/W/W15/W15-2911.pdf
"(Hagen et al., 2000)",W02-1024,Keyword-based search engines have been one of the most highly utilized internet tools in recent years.,"Nevertheless, search performance remains unsatisfactory at most e-commerce sites (Hagen et al., 2000).","Librarians and search professionals have traditionally favored Boolean keyword search systems, which, when successful, return a small set of relevant hits.",http://www.aclweb.org/anthology/W/W02/W02-1024.pdf
"(Bierner, 2001)",W02-1024,"User questions are compared against those in the database, and links to webpages for the closest matches are returned.","Similar to our approach, Electric Knowledge transforms a natural language question into a series of increasingly more general keyword queries (Bierner, 2001).","However, their query formulation process utilizes hard-crafted regular expressions, while we adopt a more general machine learning approach for transformation rule application.",http://www.aclweb.org/anthology/W/W02/W02-1024.pdf
"(Watkins, 1989",W02-1024,4.1 Q Learning,"We adopted the Q learning paradigm (Watkins, 1989; Mitchell, 1997) to model our problem as a set of possible states, S, and a set of actions, A, which can be performed to alter the current state.","While in state s E S and performing action a E A, the learner receives a reward r(s, a), and advances to state s0 = (s, a).",http://www.aclweb.org/anthology/W/W02/W02-1024.pdf
