marker,article,context,provenance,link
"Chieu and Ng, 2002a",W03-0423,"Useful Unigrams (UNI) For each name class, words that precede the name class are ranked using correlation metric (Chieu and Ng, 2002a), and the top 20 are compiled into a list.","For all lists except locations, the lists are processed into a list of tokens (unigrams). Location list is processed into a list of unigrams and bigrams (e.g., New York). For locations, tokens are matched against unigrams, and sequences of two consecutive tokens are matched against bigrams.",http://www.aclweb.org/anthology/W/W03/W03-0423.pdf
"Chieu and Ng, 2002b",W03-0423,"The basic features used by both ME1 and ME2 can be divided into two classes: local and global (Chieu and Ng, 2002b).","The features we used can be divided into 2 classes: local and global. Local features are features that are based on neighboring tokens, as well as the token itself. Global features are extracted from other occurrences of the same token in the whole document.",http://www.aclweb.org/anthology/W/W03/W03-0423.pdf
"Chieu and Ng, 2002b",W03-0423,"Token Information These features are based on the string w, such as contains-digits, contains-dollar-sign, etc (Chieu and Ng, 2002b).","Case and Zone of and : Similarly, if (or ) is initCaps, a feature (initCaps, zone) (or (initCaps, zone) ) is set to 1, etc. Token Information: This group consists of 10 features based on the string , as listed in Table 1.",http://www.aclweb.org/anthology/W/W03/W03-0423.pdf
"Chieu and Ng, 2002b",W03-0423,"In this paper, wi refers to the ith word before w, and w+i refers to the ith word after w. The features used are similar to those used in (Chieu and Ng, 2002b).","The features we used can be divided into 2 classes: local and global. Local features are features that are based on neighboring tokens, as well as the token itself. Global features are extracted from other occurrences of the same token in the whole document.",http://www.aclweb.org/anthology/W/W03/W03-0423.pdf
"Chieu and Ng, 2002a",W03-0432,"Chieu and Ng used global information such as the occurrence of the same word with other capitalisation in the same document (Chieu and Ng, 2002a), and have also used a mixed-case classifier to teach a weaker classifier that did not use case information at all (Chieu and Ng, 2002b).","The global feature groups are: InitCaps of Other Occurrences (ICOC): There are 2 features in this group, checking for whether the first occurrence of the same word in an unambiguous position (non first-words in the TXT or TEXT zones) in the same document is initCaps or not-initCaps. For a word whose initCaps might be due to its position rather than its meaning (in headlines, first word of a sentence, etc), the case information of other occurrences might be more accurate than its own.",http://www.aclweb.org/anthology/W/W03/W03-0432.pdf
Chieu and Ng 2002,W04-0705,"AMaximum Entropy methods (Borthwick et al 1998, Chieu and Ng 2002)",We will refer to our system as MENERGI (Maximum Entropy Named Entity Recognizer using Global Information).,http://www.aclweb.org/anthology/W/W04/W04-0705.pdf
Chieu and Ng 2002,W04-0705,"Other systems have made a second tagging pass which uses information on token sequences tagged in the first pass (Borthwick 1999), or have used as features information about features assigned to other instances of the same token (Chieu and Ng 2002).",Global features are extracted from other occurrences of the same token in the whole document.,http://www.aclweb.org/anthology/W/W04/W04-0705.pdf
Chieu et al. 2002,W06-0119,"To develop UWI, there are three approaches: (1) Statistical approach, researchers use common statistical features, such as maximum entropy (Chieu et al 2002), association strength, mutual information, ambiguous matching, and multi-statistical features for unknown word detection and extraction;","In this paper, we show that the maximum entropy framework is able to make use of global information directly, and achieves performance that is comparable to the best previous machine learning-based NERs on MUC6 and MUC7 test data.",http://www.aclweb.org/anthology/W/W06/W06-0119.pdf
"Schmid and Laws, 2008",D12-1133,"For German, we obtain a tagging accuracy of 97.24, which is close to the 97.39 achieved by the RFTagger (Schmid and Laws, 2008), which to our knowledge is the best tagger for German","The tagger may use an external lexicon which supplies entries for additional words which are not found in the training corpus, and additional tags for words which did occur in the training data.",http://www.aclweb.org/anthology/D/D12/D12-1133.pdf
"Schmid and Laws, 2008",D12-1133,"For German, finally, we see the greatest improvement with k = 3 tional words that are not found in the training corpus and additional tags for words that do occur in the training data (Schmid and Laws, 2008).","3 9 97.57 97.97 Table 3: STTS accuracies of the TnT tagger trained on the STTS tagset, the TnT tagger trained on the Tiger tagset, and our tagger trained on the Tiger tagset.",http://www.aclweb.org/anthology/D/D12/D12-1133.pdf
"Schmid and Laws, 2008",D13-1032,"We use the following baselines: SVMTool (Gimenez and Ma`rquez, 2004), an SVM-based dis- criminative tagger; RFTagger (Schmid and Laws, 2008), an n-gram Hidden Markov Model (HMM) tagger developed for POS+MORPH tagging;","A Hidden-Markov-Model part-of-speech tagger (Brants, 2000, e.g.) computes the most probable POS tag sequence tN = t1, ..., tN for a given word sequence wN . POS taggers are usually trained on corpora with between 50 and 150 different POS tags.",http://www.aclweb.org/anthology/D/D13/D13-1032.pdf
"Schmid and Laws, 2008",D13-1033,"For German, we show results for RFTagger (Schmid and Laws, 2008).",Our tagger is a HMM tagger which decomposes the context probabilities into a product of attribute probabilities.,http://www.aclweb.org/anthology/D/D13/D13-1033.pdf
"Schmid and Laws, 2008",E09-1079,"The decisiontree uses different context features for the predic tion of different attributes (Schmid and Laws, 2008).","Our tagger generates a predictor for each feature (such as base POS, number, gender etc.) Instead of using a single tree for the prediction of all possible values of a feature (such as noun, article, etc. for base POS), the tagger builds a separate decision tree for each value.",http://www.aclweb.org/anthology/E/E09/E09-1079.pdf
"Schmid and Laws, 2008",P10-1020,"However, we found that we achieved better accuracy by using RFTagger (Schmid and Laws, 2008), which tags nouns with their morphological case.","Our tagger generates a predictor for each feature (such as base POS, number, gender etc.) Instead of using a single tree for the prediction of all possible values of a feature (such as noun, article, etc. for base POS), the tagger builds a separate decision tree for each value. A typical context attribute is 1:ART.Nom which states that the preceding tag is an article with the attribute Nom.",http://www.aclweb.org/anthology/P/P10/P10-1020.pdf
"Schmid and Laws, 2008",P10-1068,"With respect to morphosyntactic annotations (parts of speech, pos) and morphological annotations (morph), five Annotation Models for German are currently available: STTS (Schiller et al., 1999, pos), TIGER (Brants and Hansen, 2002, morph), Morphisto (Zielinski and Simon, 2008, pos, morph), RFTagger (Schmid and Laws, 2008, pos, morph)",We presented a HMM POS tagger for fine-grained tagsets which splits the POS tags into attribute vectors and estimates the conditional probabilities of the attributes with decision trees.,http://www.aclweb.org/anthology/P/P10/P10-1068.pdf
"Schmid and Laws, 2008",P10-1068,"Analogously, the corresponding RFTagger analysis (Schmid and Laws, 2008) given in (5) can be transformed into a description in terms of the OLiA Reference Model such as in (6).",We presented a HMM POS tagger for fine-grained tagsets,http://www.aclweb.org/anthology/P/P10/P10-1068.pdf
"Schmid and Laws, 2008",P10-1068,"(iii) the RFTagger that performs part of speech and morphological analysis (Schmid and Laws, 2008)","Tagsets of this size contain little or no information about number, gender, case and similar morphosyntac- tic features. We presented a HMM POS tagger for fine-grained tagsets which splits the POS tags into attribute vectors and estimates the conditional probabilities of the attributes with decision trees.",http://www.aclweb.org/anthology/P/P10/P10-1068.pdf
"Schmid and Laws, 2008",W10-1704,"These normalization patterns use the lemma information computed by the TreeTagger and the fine-grained POS information computed by the RFTagger (Schmid and Laws, 2008), which uses a tagset containing approximately 800 tags.",We presented a HMM POS tagger for fine-grained tagsets which splits the POS tags into attribute vectors and estimates the conditional probabilities of the attributes with decision trees.,http://www.aclweb.org/anthology/W/W10/W10-1704.pdf
"Schmid and Laws, 2008",W10-1727,"For German we used morphologically rich tags from RFTagger (Schmid and Laws, 2008), that contains morphological information such as case, number, and gender for nouns and tense for verbs.","It is annotated with POS tags from the coarse-grained STTS tagset and with additional features encoding information about number, gender, case, person, degree, tense, and mood.",http://www.aclweb.org/anthology/W/W10/W10-1727.pdf
"Schmid and Laws, 2008",W11-2135,"For German, the fine-grained POS information used for pre-processing was computed by the RFTagger (Schmid and Laws, 2008).",We presented a HMM POS tagger for fine-grained tagsets which splits the POS tags into attribute vectors and estimates the conditional probabilities of the attributes with decision trees.,http://www.aclweb.org/anthology/W/W11/W11-2135.pdf
"Schmid and Laws, 2008",W11-2145,"The part-of-speeches were generated using the TreeTagger and the RFTagger (Schmid and Laws, 2008), which produces more fine-grained tags that include also person, gender and case information. While the TreeTagger assigns 54 different POS tags to the 357K German words in the corpus, the RFTagger produces 756 different fine-grained tags on the same corpus.","The German Tiger treebank (Brants et al., 2002) is an example of a corpus with a more fine-grained tagset (over 700 tags overall). It is annotated with POS tags from the coarse-grained STTS tagset and with additional features encoding information about number, gender, case, person, degree, tense, and mood.",http://www.aclweb.org/anthology/W/W11/W11-2145.pdf
"Schmid and Laws, 2008",W11-2147,"For German, the POS and morphological tags were obtained from RFTagger (Schmid and Laws, 2008) which provides morphological information such as case, number and gender for nouns and tense for verbs.","A Hidden-Markov-Model part-of-speech tagger (Brants, 2000, e.g.) computes the most probable POS tag sequence tN = t1, ..., tN for a given word sequence wN . POS taggers are usually trained on corpora with between 50 and 150 different POS tags. Tagsets of this size contain little or no information about number, gender, case and similar morphosyntac- tic features.",http://www.aclweb.org/anthology/W/W11/W11-2147.pdf
"Schmid and Laws, 2008",W12-3141,"All parallel corpora were POS-tagged with the TreeTagger (Schmid, 1994); in addition, for German, fine-grained POS labels were also needed for pre-processing and were obtained using the RFTagger (Schmid and Laws, 2008).",We presented a HMM POS tagger for fine-grained tagsets which splits the POS tags into attribute vectors and estimates the conditional probabilities of the attributes with decision trees.,http://www.aclweb.org/anthology/W/W12/W12-3141.pdf
"Schmid and Laws, 2008",W12-3144,"The POS tags are generated with the RFTagger (Schmid and Laws, 2008) for German, which produces fine-grained tags that include person, gender and case information.","It is annotated with POS tags from the coarse-grained STTS tagset and with additional features encoding information about number, gender, case, person, degree, tense, and mood.",http://www.aclweb.org/anthology/W/W12/W12-3144.pdf
"Schmid and Laws, 2008",W12-3402,"Morphological information is annotated using RFTagger (Schmid and Laws, 2008), a state-of-the-art morphological tagger based on decision trees and a large context window (which allows it to model morphological agreement more accurately than a normal trigram-based sequence tagger).",We took standard features from a 5 word window and M4LRL training without optimization of the regular- ization parameter C We presented a HMM POS tagger for fine-grained tagsets which splits the POS tags into attribute vectors and estimates the conditional probabilities of the attributes with decision trees.,http://www.aclweb.org/anthology/W/W12/W12-3402.pdf
"Schmid and Laws, 2008",W13-2204,"All parallel corpora were POS-tagged with the TreeTagger (Schmid, 1994); in addition, for German, fine-grained POS labels were also needed for pre-processing and were obtained using the RFTagger (Schmid and Laws, 2008).",We presented a HMM POS tagger for fine-grained tagsets which splits the POS tags into attribute vectors and estimates the conditional probabilities of the attributes with decision trees.,http://www.aclweb.org/anthology/W/W13/W13-2204.pdf
"Schmid and Laws, 2008",W13-2210,"In order to train the POS-based reordering model, probabilistic rules were learned based on the POS tags from the TreeTagger (Schmid and Laws, 2008) of the training corpus and the alignment.",We presented a HMM POS tagger for fine-grained tagsets which splits the POS tags into attribute vectors and estimates the conditional probabilities of the attributes with decision trees.,http://www.aclweb.org/anthology/W/W13/W13-2210.pdf
"Schmid and Laws, 2008",W13-2210,"The POS tags are generated using the RFTagger (Schmid and Laws, 2008) for German.",The probability of an attribute (such as Nom) is always conditioned on the respective base POS (such as N) (unless the predicted attribute is theFigure 1: Probability estimation tree for the nomi native case of nouns.,http://www.aclweb.org/anthology/W/W13/W13-2210.pdf
"Schmid and Laws, 2008",W13-2211,"We lemmatized German articles, adjectives (only positive form), for some pronouns and for nouns in order to remove the lexical redundancy (e.g., Bildes as Bild) by using the fine- grained part-of-speech tags generated by RFTagger (Schmid and Laws, 2008).",Estimation of Conditional ProbabilitiesWith Decision Trees and an Application to Fine-Grained POS Tagging,http://www.aclweb.org/anthology/W/W13/W13-2211.pdf
"Schmid and Laws, 2008",W13-2228,"6.1.1 POS Tagging We use RFTagger (Schmid and Laws, 2008) for POS tagging.",We presented a HMM POS tagger for fine-grained tagsets which splits the POS tags into attribute vectors and estimates the conditional probabilities of the attributes with decision trees.,http://www.aclweb.org/anthology/W/W13/W13-2228.pdf
"Schmid and Laws, 2008",W13-2230,"In the second step, the normalized training data is annotated with Part-of-Speech tags (PoS-tags) and word lemmas using RFTagger (Schmid and Laws, 2008) which was trained on the French tree- bank (Abeille et al., 2003).",We presented a HMM POS tagger for fine-grained tagsets which splits the POS tags into attribute vectors and estimates the conditional probabilities of the attributes with decision trees.,http://www.aclweb.org/anthology/W/W13/W13-2230.pdf
"Schmid and Laws, 2008",W13-2230,"Morphological analysis and resources The morphological analysis of the French training data is obtained using RFTagger, which is designed for annotating fine-grained morphological tags (Schmid and Laws, 2008).",We presented a HMM POS tagger for fine-grained tagsets which splits the POS tags into attribute vectors and estimates the conditional probabilities of the attributes with decision trees.,http://www.aclweb.org/anthology/W/W13/W13-2230.pdf
"Schmid and Laws, 2008",W13-2230,"Tagging and tagging errors For tagging, we use a version of RFTagger (Schmid and Laws, 2008)",We presented a HMM POS tagger for fine-grained tagsets which splits the POS tags into attribute vectors and estimates the conditional probabilities of the attributes with decision trees.,http://www.aclweb.org/anthology/W/W13/W13-2230.pdf
"Schmid and Laws, 2008",W13-2302,"Part-of-speech (POS) tagging of modern language data is a well-explored field, commonly achieving accuracies around 97% (Brants, 2000; Schmid and Laws, 2008).",We presented a HMM POS tagger for fine-grained tagsets which splits the POS tags into attribute vectors and estimates the conditional probabilities of the attributes with decision trees.,http://www.aclweb.org/anthology/W/W13/W13-2302.pdf
"Schmid and Laws, 2008",W13-2302,"The results presented here were achieved using the RFTagger (Schmid and Laws, 2008)","We present a HMM part-of-speech tagging method which is particularly suited for POS tagsets with a large number of fine-grained tags. 3 9 97.57 97.97 Table 3: STTS accuracies of the TnT tagger trained on the STTS tagset, the TnT tagger trained on the Tiger tagset, and our tagger trained on the Tiger tagset.",http://www.aclweb.org/anthology/W/W13/W13-2302.pdf
"Schmid and Laws, 2008",W13-2708,"So far, the Complex Concept Builder implements tokenization (Schmid, 2009), lemmatisation (Schmid, 1995), part-of-speech tagging (Schmid and Laws, 2008)",We present a HMM part-of-speech tagging method which is particularly suited for POS tagsets with a large number of fine-grained tags.,http://www.aclweb.org/anthology/W/W13/W13-2708.pdf
"Green and Manning, 2010",D12-1046,"Joint segmentation and parsing was also investigated for Arabic (Green and Manning, 2010).",6 Joint Segmentation and Parsing.,http://www.aclweb.org/anthology/D/D12/D12-1046.pdf
Green and Manning 2010,J13-1007,"Indeed, we have used it to solve the problem of parsing while recovering null elements in both English and Chinese (Cai, Chiang, and Goldberg 2011), and others have used it for the joint segmentation and parsing of Arabic (Green and Manning 2010).",6 Joint Segmentation and Parsing.,http://www.aclweb.org/anthology/J/J13/J13-1007.pdf
Green and Manning 2010,J13-1007,"One possible solution to the unobserved word-sequence problem is a pipeline system in which an initial model is in charge of token-segmentation, and the output of the initial model is fed as the input to a second stage parser. This is a popular approach in parsing systems for Arabic and Chinese (Jiang, Huang, and Liu 2009; Green and Manning 2010).","But gold segmentation is not available in application settings, so a segmenter and parser are arranged in a pipeline.",http://www.aclweb.org/anthology/J/J13/J13-1007.pdf
Green and Manning 2010,J13-1007,"This is by now a fairly standard representation for multiple morphological segmentations of Hebrew utterances (Adler 2001; Bar-Haim, Simaan, and Winter 2005; Adler 2007; Cohen and Smith 2007; Goldberg, Adler, and Elhadad 2008; Goldberg and Tsarfaty 2008; Goldberg and Elhadad 2011). It is also used for Arabic (Green and Manning 2010)",6 Joint Segmentation and Parsing.,http://www.aclweb.org/anthology/J/J13/J13-1007.pdf
2010,J13-1007,"Lattice parsing was explored in the context of parsing of speech signals by Chappelier et al (1999), Simaan (1999), and Hall (2005), and in the context of joint word-segmentation and syntactic disambiguation in Cohen and Smith (2007), Goldberg and Tsarfaty (2008), and Green and Manning (2010).","Finally, we show that in application settings, the absence of gold segmentation lowers parsing performance by 25% F1.",http://www.aclweb.org/anthology/J/J13/J13-1007.pdf
2010,J13-1007,"Recently, Green and Manning (2010) report on an extensive set of experiments with several kinds of tree annotations and refinements, and report parsing accuracies of 79% F1 using the Stanford-parser and 82% F1 using the PCFG-LA BerkeleyParser, both when assuming gold word segmentation.","Finally, we provide a realistic eval uation in which segmentation is performed both in a pipeline and jointly with parsing (6).",http://www.aclweb.org/anthology/J/J13/J13-1007.pdf
Green and Manning 2010,J13-1007,"The best reported results for parsing Arabic when the gold word segmentation is not known, however, are obtained using a pipeline model in which a tagger and word-segmenter is applied prior to a manually state-split constituency parser, resulting in an F-score of 79% F1 (for sentences of up to 70 words) (Green and Manning 2010).","Finally, we provide a realistic eval uation in which segmentation is performed both in a pipeline and jointly with parsing (6). Parent Head Modif er Dir # gold F1 Label # gold F1 NP NP TAG R 946 0.54 ADJP 1216 59.45 S S S R 708 0.57 SBAR 2918 69.81 NP NP ADJ P R 803 0.64 FRAG 254 72.87 NP NP N P R 2907 0.66 VP 5507 78.83 NP NP SBA R R 1035 0.67 S 6579 78.91 NP NP P P R 2713 0.67 PP 7516 80.93 VP TAG P P R 3230 0.80 NP 34025 84.95 NP NP TAG L 805 0.85 ADVP 1093 90.64 VP TAG SBA R R 772 0.86 WHN P 787 96.00 S VP N P L 961 0.87 (a) Major phrasal categories (b) Major POS categories (c) Ten lowest scoring (Collins, 2003)-style dependencies occurring more than 700 times Table 8: Per category performance of the Berkeley parser on sentence lengths  70 (dev set, gold segmentation). Table 9: Dev set results for sentences of length  70.",http://www.aclweb.org/anthology/J/J13/J13-1007.pdf
Green and Manning 2010,J13-1008,"As for work on Arabic (MSA), results have been reported on the PATB (Kulick, Gabbard, and Marcus 2006; Diab 2007; Green and Manning 2010)","To investigate the influence of these factors, we analyze Modern Standard Arabic (henceforth MSA, or simply Arabic) because of the unusual opportunity it presents for comparison to English parsing results.",http://www.aclweb.org/anthology/J/J13/J13-1008.pdf
2010,J13-1008,"Recently, Green and Manning (2010) analyzed the PATB for annotation consistency, and introduced an enhanced split-state constituency grammar, including labels for short idafa constructions and verbal or equational clauses.","Next we show that the ATB is similar to other tree- banks in gross statistical terms, but that annotation consistency remains low relative to English (3). We then use linguistic and annotation insights to develop a manually annotated grammar for Arabic (4). When the maSdar lacks a determiner, the constituent as a whole resem bles the ubiquitous annexation construct  ?f iDafa. mark- ContainsVerb is especially effective for distinguishing root S nodes of equational sentences.",http://www.aclweb.org/anthology/J/J13/J13-1008.pdf
2010,J13-1008,"For better comparison with work of others, we adopt the suggestion made by Green and Manning (2010) to evaluate the parsing quality on sentences up to 70 tokens long.",We propose a limit of 70 words for Arabic parsing evaluations.,http://www.aclweb.org/anthology/J/J13/J13-1008.pdf
2010,J13-1009,"The Arabic grammar features come from Green and Manning (2010), which contains an ablation study similar to Table 2.","In our grammar, features are realized as annotations to basic category labels. We start with noun features since written Arabic contains a very high proportion of NPs.",http://www.aclweb.org/anthology/J/J13/J13-1009.pdf
2010,J13-1009,"For Arabic, we use the head-finding rules from Green and Manning (2010).",8 We use head-finding rules specified by a native speaker.,http://www.aclweb.org/anthology/J/J13/J13-1009.pdf
Green and Manning 2010,J13-1009,We previously showed that the Kulick tag set is very effective for basic Arabic parsing (Green and Manning 2010).,"By establishing significantly higher parsing baselines, we have shown that Arabic parsing performance is not as poor as previously thought, but remains much lower than English.",http://www.aclweb.org/anthology/J/J13/J13-1009.pdf
Green and Manning 2010,J13-1009,We previously showed that segmentation errors decrease Arabic parsing accuracy by about 2.0% F1 (Green and Manning 2010).,"Table 9 shows that MADA produces a high quality segmentation, and that the effect of cascading segmentation errors on parsing is only 1.92% F1.",http://www.aclweb.org/anthology/J/J13/J13-1009.pdf
Green and Manning 2010,J13-1009,We previously showed optimal Berkeley parser (Petrov et al 2006) pa- rameterizations for both the Arabic (Green and Manning 2010) and French (Green et al 2011) data sets,"To investigate the influence of these factors, we analyze Modern Standard Arabic (henceforth MSA, or simply Arabic) because of the unusual opportunity it presents for comparison to English parsing results.",http://www.aclweb.org/anthology/J/J13/J13-1009.pdf
"reen and Manning, 2010",P11-1159,"As for work on Arabic, results have been reported on PATB (Kulick et al., 2006; Diab, 2007; Green and Manning, 2010)","To investigate the influence of these factors, we analyze Modern Standard Arabic (henceforth MSA, or simply Arabic) because of the unusual opportunity it presents for comparison to English parsing results.",http://www.aclweb.org/anthology/P/P11/P11-1159.pdf
2010,P11-1159,"Recently, Green and Manning (2010) analyzed the PATB for annotation consistency","To investigate the influence of these factors, we analyze Modern Standard Arabic (henceforth MSA, or simply Arabic) because of the unusual opportunity it presents for comparison to English parsing results.",http://www.aclweb.org/anthology/P/P11/P11-1159.pdf
"Green and Manning, 2010",P11-2037,"We allow the parser to produce empty elements by means of lattice-parsing (Chappelier et al., 1999), a general processing community (Hall, 2005; Chappelier et al., 1999), and was recently applied to the task of joint clitic-segmentation and syntactic-parsing in Hebrew (Goldberg and Tsarfaty, 2008; Goldberg and Elhadad, 2011) and Arabic (Green and Manning, 2010).","To investigate the influence of these factors, we analyze Modern Standard Arabic (henceforth MSA, or simply Arabic) because of the unusual opportunity it presents for comparison to English parsing results.",http://www.aclweb.org/anthology/P/P11/P11-2037.pdf
"Green and Manning, 2010",P11-2122,"Recent work has therefore focused on the importance of detecting errors in the treebank (Green and Manning, 2010)",We show that noun-noun vs. discourse-level coordination ambiguity in Arabic is a significant source of parsing errors (Table 8c).,http://www.aclweb.org/anthology/P/P11/P11-2122.pdf
2010,P11-2122,Green and Manning (2010) discuss annotation consistency in the Penn Arabic Treebank (ATB),"Next we show that the ATB is similar to other tree- banks in gross statistical terms, but that annotation consistency",http://www.aclweb.org/anthology/P/P11/P11-2122.pdf
2010,P11-2122,"Measuring recall is tricky, even using the errors identified in Green and Manning (2010) as gold errors.",We show that noun-noun vs. discourse-level coordination ambiguity in Arabic is a significant source of parsing errors (Table 8c).,http://www.aclweb.org/anthology/P/P11/P11-2122.pdf
2010,P11-2124,"Recently, Green and Manning (2010) demonstrated the effectiveness of lattice-parsing for parsing Arabic.","Lattice parsing (Chappelier et al., 1999) is an alternative to a pipeline that prevents cascading errors by placing all segmentation options into the parse chart. We extend the Stanford parser to accept pre-generated lattices, where each word is represented as a finite state automaton.",http://www.aclweb.org/anthology/P/P11/P11-2124.pdf
"Green and Manning, 2010",P12-1016,"The data was pre-processed with packages from the Stanford Arabic parser (Green and Manning, 2010).","Better Arabic Parsing: Baselines, Evaluations, and Analysis",http://www.aclweb.org/anthology/P/P12/P12-1016.pdf
"Green and Manning, 2010",P12-2002,"One can either select a segmentation path prior to parsing, or, as has been recently argued, one can let the parser pick a segmentation jointly with decoding (Tsarfaty, 2006; Cohen and Smith, 2007; Goldberg and Tsarfaty, 2008; Green and Manning, 2010).","Finally, we provide a realistic eval uation in which segmentation is performed both in a pipeline and jointly with parsing (6).",http://www.aclweb.org/anthology/P/P12/P12-2002.pdf
2010,P12-2002,2 The complete set of analyses for this word is provided in Goldberg and Tsarfaty (2008). Examples for similar phenomena in Arabic may be found in Green and Manning (2010).,"Better Arabic Parsing: Baselines, Evaluations, and Analysis",http://www.aclweb.org/anthology/P/P12/P12-2002.pdf
"Green and Manning, 2010",P12-2002,"In practice, a statistical component is required to decide on the correct morphological segmentation, that is, to pick out the correct path through the lattice. This may be done based on linear local context (Adler and Elhadad, 2006; Shacham and Wintner, 2007; Bar-haim et al., 2008; Habash and Rambow, 2005), or jointly with parsing (Tsarfaty, 2006; Goldberg and Tsarfaty, 2008; Green and Manning, 2010).","Lattice parsing (Chappelier et al., 1999) is an alternative to a pipeline that prevents cascading errors by placing all segmentation options into the parse chart. We extend the Stanford parser to accept pre-generated lattices, where each word is represented as a finite state automaton.",http://www.aclweb.org/anthology/P/P12/P12-2002.pdf
2010,W13-4904,"Following Green and Manning (2010) and others, sentences headed by X nodes are deleted","Preprocessing the raw trees improves parsing performance considerably.9 We first discard all trees dominated by X, which indicates errors and non-linguistic text.",http://www.aclweb.org/anthology/W/W13/W13-4904.pdf
2010,W13-4904,"Green and Manning (2010) obtain the opposite result in their Arabic parsing experiments, with the lattice parser underperforming the pipeline system by over 3 points (76.01 F1 vs 79.17 F1).","Table 9 shows that MADA produces a high quality segmentation, and that the effect of cascading segmentation errors on parsing is only 1.92% F1.",http://www.aclweb.org/anthology/W/W13/W13-4904.pdf
2010,W13-4904,"Green and Manning (2010) find that using automatic tokenization provided by MADA (Habash et al., 2009) instead of gold tokenization results in a 1.92% F score drop in their constituent parsing work.","Table 9 shows that MADA produces a high quality segmentation, and that the effect of cascading segmentation errors on parsing is only 1.92% F1.",http://www.aclweb.org/anthology/W/W13/W13-4904.pdf
"Green and Manning, 2010",W13-4916,"We also express our gratitude to the treebank providers for each language: Arabic (Maamouri et al., 2004; Habash and Roth, 2009; Habash et al., 2009; Green and Manning, 2010)","To investigate the influence of these factors, we analyze Modern Standard Arabic (henceforth MSA, or simply Arabic) because of the unusual opportunity it presents for comparison to English parsing results.",http://www.aclweb.org/anthology/W/W13/W13-4916.pdf
